"phylum","class","order","family","genus","species","body_mass_kg","brain_mass_kg","brain_body_ratio"
"Chordata","Aves","Charadriiformes","Stercorariidae","Stercorarius","Stercorarius parasiticus",0.465,0.00403004,0.00866675268817204
"Chordata","Aves","Charadriiformes","Stercorariidae","Stercorarius","Stercorarius pomarinus",0.7,0.00496244,0.0070892
"Chordata","Aves","Charadriiformes","Turnicidae","Turnix","Turnix melanogaster",0.0825,0.00109816,0.0133110303030303
"Chordata","Aves","Charadriiformes","Turnicidae","Turnix","Turnix pyrrhothorax",0.0515,0.00059052,0.0114664077669903
"Chordata","Aves","Charadriiformes","Turnicidae","Turnix","Turnix varius",0.08,0.00107744,0.013468
"Chordata","Aves","Charadriiformes","Turnicidae","Turnix","Turnix velox",0.046,0.00069412,0.0150895652173913
"Chordata","Aves","Ciconiiformes","Ciconiidae","Ciconia","Ciconia abdimii",0.95,0.0073,0.00768421052631579
"Chordata","Aves","Ciconiiformes","Ciconiidae","Ciconia","Ciconia ciconia",3.342,0.01601,0.00479040729167599
"Chordata","Aves","Ciconiiformes","Ciconiidae","Leptoptilos","Leptoptilos crumeniferus",7.13,0.03014,0.00422720897615708
"Chordata","Aves","Columbiformes","Columbidae","Chalcophaps","Chalcophaps indica",0.135,0.001295,0.00959259259259259
"Chordata","Aves","Columbiformes","Columbidae","Columba","Columba leucomela",0.42,0.00237244,0.00564866666666667
"Chordata","Aves","Columbiformes","Columbidae","Geopelia","Geopelia cuneata",0.033,0.00080808,0.0244872727272727
"Chordata","Aves","Columbiformes","Columbidae","Geopelia","Geopelia humeralis",0.13,0.00130536,0.0100412307692308
"Chordata","Aves","Columbiformes","Columbidae","Geopelia","Geopelia striata",0.0485,0.00081844,0.0168750515463918
"Chordata","Aves","Columbiformes","Columbidae","Geophaps","Geophaps plumifera",0.095,0.00122248,0.0128682105263158
"Chordata","Aves","Columbiformes","Columbidae","Geophaps","Geophaps smithii",0.205,0.00144004,0.00702458536585366
"Chordata","Aves","Columbiformes","Columbidae","Leucosarcia","Leucosarcia melanoleuca",0.415,0.00249676,0.00601628915662651
"Chordata","Aves","Columbiformes","Columbidae","Lopholaimus","Lopholaimus antarcticus",0.575,0.00280756,0.00488271304347826
"Chordata","Aves","Columbiformes","Columbidae","Macropygia","Macropygia amboinensis",0.2,0.00154364,0.0077182
"Chordata","Aves","Columbiformes","Columbidae","Ocyphaps","Ocyphaps lophotes",0.19,0.0017612,0.00926947368421053
"Chordata","Aves","Columbiformes","Columbidae","Petrophassa","Petrophassa albipennis",0.125,0.0011396,0.0091168
"Chordata","Aves","Columbiformes","Columbidae","Phaps","Phaps chalcoptera",0.335,0.00184408,0.00550471641791045
"Chordata","Aves","Columbiformes","Columbidae","Phaps","Phaps elegans",0.205,0.0017094,0.00833853658536585
"Chordata","Aves","Columbiformes","Columbidae","Phaps","Phaps histrionica",0.3,0.0017094,0.005698
"Chordata","Aves","Columbiformes","Columbidae","Ptilinopus","Ptilinopus magnificus",0.335,0.00224812,0.00671080597014925
"Chordata","Aves","Columbiformes","Columbidae","Ptilinopus","Ptilinopus regina",0.095,0.00125356,0.0131953684210526
"Chordata","Aves","Columbiformes","Columbidae","Ptilinopus","Ptilinopus superbus",0.107,0.00112924,0.0105536448598131
"Chordata","Aves","Columbiformes","Columbiformes","Columba","Columba livia",0.2645,0.0024895,0.00940210181755535
"Chordata","Aves","Coraciiformes","Alcedinidae","Ceyx","Ceyx azureus",0.035,0.00101528,0.029008
"Chordata","Aves","Coraciiformes","Alcedinidae","Dacelo","Dacelo leachii",0.31,0.00438228,0.0141363870967742
"Chordata","Aves","Coraciiformes","Alcedinidae","Dacelo","Dacelo novaeguineae",0.281,0.00446516,0.0158902491103203
"Chordata","Aves","Coraciiformes","Alcedinidae","Syma","Syma torotoro",0.0395,0.00114996,0.0291129113924051
"Chordata","Aves","Coraciiformes","Alcedinidae","Tanysiptera","Tanysiptera sylvia",0.047,0.00118104,0.0251285106382979
"Chordata","Aves","Coraciiformes","Alcedinidae","Todiramphus","Todiramphus chloris",0.067,0.00138824,0.02072
"Chordata","Aves","Coraciiformes","Alcedinidae","Todiramphus","Todiramphus macleayii",0.038,0.00110852,0.0291715789473684
"Chordata","Aves","Coraciiformes","Alcedinidae","Todiramphus","Todiramphus pyrrhopygius",0.0555,0.00117068,0.0210933333333333
"Chordata","Aves","Coraciiformes","Alcedinidae","Todiramphus","Todiramphus sanctus",0.0515,0.00106708,0.02072
"Chordata","Aves","Coraciiformes","Coraciidae","Eurystomus","Eurystomus orientalis",0.1875,0.00205128,0.01094016
"Chordata","Aves","Coraciiformes","Meropidae","Merops","Merops ornatus",0.031,0.00064232,0.02072
"Chordata","Aves","Cuculiformes","Cuculidae","Cacomantis","Cacomantis castaneiventris",0.03,0.0009842,0.0328066666666667
"Chordata","Aves","Cuculiformes","Cuculidae","Cacomantis","Cacomantis flabelliformis",0.0538,0.00112924,0.0209895910780669
"Chordata","Aves","Cuculiformes","Cuculidae","Cacomantis","Cacomantis pallidus",0.0905,0.00148148,0.0163699447513812
"Chordata","Aves","Cuculiformes","Cuculidae","Cacomantis","Cacomantis variolosus",0.038,0.00100492,0.0264452631578947
"Chordata","Aves","Cuculiformes","Cuculidae","Centropus","Centropus phasianinus",0.377,0.00426832,0.0113218037135279
"Chordata","Aves","Cuculiformes","Cuculidae","Chrysococcyx","Chrysococcyx basalis",0.0245,0.00064232,0.0262171428571429
"Chordata","Aves","Cuculiformes","Cuculidae","Chrysococcyx","Chrysococcyx lucidus",0.025,0.00071484,0.0285936
"Chordata","Aves","Cuculiformes","Cuculidae","Chrysococcyx","Chrysococcyx minutillus",0.017,0.00060088,0.0353458823529412
"Chordata","Aves","Cuculiformes","Cuculidae","Chrysococcyx","Chrysococcyx osculans",0.032,0.00075628,0.02363375
"Chordata","Aves","Cuculiformes","Cuculidae","Eudynamys","Eudynamys orientalis",0.243,0.00254856,0.0104879012345679
"Chordata","Aves","Cuculiformes","Cuculidae","Scythrops","Scythrops novaehollandiae",0.7475,0.0055426,0.00741484949832776
"Chordata","Aves","Falconiformes","Falconidae","Falco","Falco berigora",0.5475,0.00646464,0.0118075616438356
"Chordata","Aves","Falconiformes","Falconidae","Falco","Falco cenchroides",0.185,0.00324268,0.017528
"Chordata","Aves","Falconiformes","Falconidae","Falco","Falco longipennis",0.2485,0.0034706,0.0139661971830986
"Chordata","Aves","Falconiformes","Falconidae","Falco","Falco peregrinus",0.715,0.00641284,0.00896900699300699
"Chordata","Aves","Falconiformes","Falconidae","Falco","Falco sparverius",0.112,0.00251,0.0224107142857143
"Chordata","Aves","Falconiformes","Falconidae","Falco","Falco subniger",0.765,0.006734,0.00880261437908497
"Chordata","Aves","Galliformes","Megapodiidae","Alectura","Alectura lathami",2.3,0.00588448,0.00255846956521739
"Chordata","Aves","Galliformes","Megapodiidae","Leipoa","Leipoa ocellata",2,0.004662,0.002331
"Chordata","Aves","Galliformes","Numididdae","Numida","Numida meleagris",1.62,0.0042,0.00259259259259259
"Chordata","Aves","Galliformes","Phasianidae","Coturnix","Coturnix pectoralis",0.105,0.00099456,0.009472
"Chordata","Aves","Galliformes","Phasianidae","Dendroperdix","Dendroperdix sephaena",0.208,0.0015,0.00721153846153846
"Chordata","Aves","Galliformes","Phasianidae","Excalfactoria","Excalfactoria chinensis",0.0375,0.00058016,0.0154709333333333
"Chordata","Aves","Galliformes","Phasianidae","Gallus","Gallus bankiva",1.7315,0.003733,0.00235709529979126
"Chordata","Aves","Galliformes","Phasianidae","Lagopus","Lagopus lagopus",0.541,0.0025885,0.00478539702063687
"Chordata","Aves","Galliformes","Phasianidae","Phasianus","Phasianus colchicus",0.625,0.003289,0.0052624
"Chordata","Aves","Gaviiformes","Gaviidae","Gavia","Gavia stellata",1.549,0.00625,0.0040344387755102
"Chordata","Aves","Gruiformes","Gruidae","Antigone","Antigone canadensis",1.651,0.00858,0.00519685039370079
"Chordata","Aves","Gruiformes","Gruidae","Balearica","Balearica pavonina",4.448,0.013195,0.00299458828590447
"Chordata","Aves","Gruiformes","Gruidae","Grus","Grus antigone",5.75,0.02078216,0.00361428869565217
"Chordata","Aves","Gruiformes","Gruidae","Grus","Grus rubicunda",6.2,0.01832684,0.00295594193548387
"Chordata","Aves","Gruiformes","Rallidae","Amaurornis","Amaurornis moluccana",0.1685,0.00220668,0.0130960237388724
"Chordata","Aves","Gruiformes","Rallidae","Fulica","Fulica atra",0.568,0.0029526,0.00519823943661972
"Chordata","Aves","Gruiformes","Rallidae","Gallinula","Gallinula tenebrosa",0.528,0.00280756,0.00531734848484848
"Chordata","Aves","Gruiformes","Rallidae","Gallirallus","Gallirallus philippensis",0.1815,0.00204092,0.011244738292011
"Chordata","Aves","Gruiformes","Rallidae","Lewinia","Lewinia pectoralis",0.0875,0.00138824,0.0158656
"Chordata","Aves","Gruiformes","Rallidae","Porphyrio","Porphyrio porphyrio",0.9945,0.0048692,0.00489612870789341
"Chordata","Aves","Gruiformes","Rallidae","Porzana","Porzana fluminea",0.06,0.00106708,0.0177846666666667
"Chordata","Aves","Gruiformes","Rallidae","Porzana","Porzana pusilla",0.037,0.000777,0.021
"Chordata","Aves","Gruiformes","Rallidae","Tribonyx","Tribonyx ventralis",0.39,0.00286972,0.00735825641025641
"Chordata","Aves","Otidiformes","Otididae","Ardeotis","Ardeotis australis",5.5,0.0120694,0.00219443636363636
"Chordata","Aves","Passeriformes","Acanthizidae","Acanthiza","Acanthiza chrysorrhoa",0.0091,0.00044548,0.0489538461538462
"Chordata","Aves","Passeriformes","Acanthizidae","Acanthiza","Acanthiza ewingii",0.007,0.00065268,0.09324
"Chordata","Aves","Passeriformes","Acanthizidae","Acanthiza","Acanthiza inornata",0.007,0.00045584,0.06512
"Chordata","Aves","Passeriformes","Acanthizidae","Acanthiza","Acanthiza lineata",0.0073,0.00052836,0.0723780821917808
"Chordata","Aves","Passeriformes","Acanthizidae","Acanthiza","Acanthiza nana",0.0065,0.00037296,0.0573784615384615
"Chordata","Aves","Passeriformes","Acanthizidae","Acanthiza","Acanthiza pusilla",0.0074,0.0004662,0.063
"Chordata","Aves","Passeriformes","Acanthizidae","Acanthiza","Acanthiza reguloides",0.0074,0.00040404,0.0546
"Chordata","Aves","Passeriformes","Acanthizidae","Acanthiza","Acanthiza uropygialis",0.006,0.00037296,0.06216
"Chordata","Aves","Passeriformes","Acanthizidae","Aphelocephala","Aphelocephala leucopsis",0.0125,0.00055944,0.0447552
"Chordata","Aves","Passeriformes","Acanthizidae","Aphelocephala","Aphelocephala nigricincta",0.011,0.00048692,0.0442654545454545
"Chordata","Aves","Passeriformes","Acanthizidae","Calamanthus","Calamanthus campestris",0.014,0.00066304,0.04736
"Chordata","Aves","Passeriformes","Acanthizidae","Calamanthus","Calamanthus fuliginosus",0.0208,0.0007252,0.0348653846153846
"Chordata","Aves","Passeriformes","Acanthizidae","Chthonicola","Chthonicola sagittata",0.0135,0.0006216,0.0460444444444445
"Chordata","Aves","Passeriformes","Acanthizidae","Gerygone","Gerygone chloronota",0.0065,0.00037296,0.0573784615384615
"Chordata","Aves","Passeriformes","Acanthizidae","Gerygone","Gerygone fusca",0.006,0.00035224,0.0587066666666667
"Chordata","Aves","Passeriformes","Acanthizidae","Gerygone","Gerygone magnirostris",0.007,0.00043512,0.06216
"Chordata","Aves","Passeriformes","Acanthizidae","Hylacola","Hylacola cauta",0.0147,0.00083916,0.0570857142857143
"Chordata","Aves","Passeriformes","Acanthizidae","Hylacola","Hylacola pyrrhopygia",0.017,0.00106708,0.0627694117647059
"Chordata","Aves","Passeriformes","Acanthizidae","Origma","Origma solitaria",0.0145,0.0008806,0.0607310344827586
"Chordata","Aves","Passeriformes","Acanthizidae","Pycnoptilus","Pycnoptilus floccosus",0.0292,0.00122248,0.0418657534246575
"Chordata","Aves","Passeriformes","Acanthizidae","Pyrrholaemus","Pyrrholaemus brunneus",0.012,0.00059052,0.04921
"Chordata","Aves","Passeriformes","Acanthizidae","Sericornis","Sericornis citreogularis",0.0169,0.00081844,0.0484284023668639
"Chordata","Aves","Passeriformes","Acanthizidae","Sericornis","Sericornis frontalis",0.013,0.00078736,0.0605661538461538
"Chordata","Aves","Passeriformes","Acanthizidae","Sericornis","Sericornis magnirostra",0.01,0.0006216,0.06216
"Chordata","Aves","Passeriformes","Acanthizidae","Smicrornis","Smicrornis brevirostris",0.0057,0.00030044,0.0527087719298246
"Chordata","Aves","Passeriformes","Acrocephalidae","Acrocephalus","Acrocephalus orientalis",0.0173,0.00094276,0.0544947976878613
"Chordata","Aves","Passeriformes","Artamidae","Artamus","Artamus cinereus",0.0377,0.00095312,0.0252816976127321
"Chordata","Aves","Passeriformes","Artamidae","Artamus","Artamus cyanopterus",0.035,0.001036,0.0296
"Chordata","Aves","Passeriformes","Artamidae","Artamus","Artamus leucorynchus",0.041,0.00111888,0.027289756097561
"Chordata","Aves","Passeriformes","Artamidae","Artamus","Artamus minor",0.017,0.00053872,0.0316894117647059
"Chordata","Aves","Passeriformes","Artamidae","Artamus","Artamus personatus",0.0347,0.00106708,0.0307515850144092
"Chordata","Aves","Passeriformes","Artamidae","Artamus","Artamus superciliosus",0.035,0.00107744,0.030784
"Chordata","Aves","Passeriformes","Artamidae","Cracticus","Cracticus nigrogularis",0.1241,0.00312872,0.0252112812248187
"Chordata","Aves","Passeriformes","Artamidae","Cracticus","Cracticus tibicen",0.2798,0.0048174,0.01721729807005
"Chordata","Aves","Passeriformes","Artamidae","Cracticus","Cracticus torquatus",0.0907,0.00288008,0.0317539140022051
"Chordata","Aves","Passeriformes","Artamidae","Melloria","Melloria quoyi",0.1744,0.0036778,0.0210883027522936
"Chordata","Aves","Passeriformes","Artamidae","Strepera","Strepera fuliginosa",0.3604,0.0059052,0.01638512763596
"Chordata","Aves","Passeriformes","Artamidae","Strepera","Strepera graculina",0.3048,0.00553224,0.0181503937007874
"Chordata","Aves","Passeriformes","Artamidae","Strepera","Strepera versicolor",0.3845,0.00618492,0.0160856176853056
"Chordata","Aves","Passeriformes","Atrichorniithidae","Atrichornis","Atrichornis clamosus",0.043,0.0017612,0.0409581395348837
"Chordata","Aves","Passeriformes","Campephagidae","Coracina","Coracina maxima",0.1395,0.0022792,0.0163383512544803
"Chordata","Aves","Passeriformes","Campephagidae","Coracina","Coracina novaehollandiae",0.115,0.0024864,0.0216208695652174
"Chordata","Aves","Passeriformes","Campephagidae","Coracina","Coracina papuensis",0.0657,0.00210308,0.0320103500761035
"Chordata","Aves","Passeriformes","Campephagidae","Coracina","Coracina tenuirostris",0.0666,0.00178192,0.0267555555555556
"Chordata","Aves","Passeriformes","Campephagidae","Lalage","Lalage sueurii",0.0275,0.00090132,0.0327752727272727
"Chordata","Aves","Passeriformes","Cisticolidae","Cisticola","Cisticola exilis",0.0075,0.00040404,0.053872
"Chordata","Aves","Passeriformes","Climacteridae","Climacteris","Climacteris erythrops",0.023,0.00091168,0.0396382608695652
"Chordata","Aves","Passeriformes","Climacteridae","Climacteris","Climacteris melanura",0.032,0.00089096,0.0278425
"Chordata","Aves","Passeriformes","Climacteridae","Climacteris","Climacteris picumnus",0.0318,0.001036,0.0325786163522013
"Chordata","Aves","Passeriformes","Climacteridae","Climacteris","Climacteris rufa",0.033,0.00106708,0.0323357575757576
"Chordata","Aves","Passeriformes","Climacteridae","Cormobates","Cormobates leucophaea",0.0207,0.00083916,0.0405391304347826
"Chordata","Aves","Passeriformes","Corcoracidae","Corcorax","Corcorax melanorhamphos",0.36,0.0053872,0.0149644444444444
"Chordata","Aves","Passeriformes","Corcoracidae","Struthidea","Struthidea cinerea",0.135,0.00308728,0.0228687407407407
"Chordata","Aves","Passeriformes","Corvidae","Aphelocoma","Aphelocoma coerulescens",0.08,0.0028,0.035
"Chordata","Aves","Passeriformes","Corvidae","Aphelocoma","Aphelocoma ultramarina",0.125,0.0037,0.0296
"Chordata","Aves","Passeriformes","Corvidae","Calocitta","Calocitta formosa",0.21,0.0042,0.02
"Chordata","Aves","Passeriformes","Corvidae","Cissa","Cissa chinensis",0.125,0.003,0.024
"Chordata","Aves","Passeriformes","Corvidae","Cissilopha","Cissilopha beecheii",0.195,0.0043,0.022051282051282
"Chordata","Aves","Passeriformes","Corvidae","Cissilopha","Cissilopha melanocyanea",0.11,0.0033,0.03
"Chordata","Aves","Passeriformes","Corvidae","Cissilopha","Cissilopha sanblasiana",0.11,0.003,0.0272727272727273
"Chordata","Aves","Passeriformes","Corvidae","Corvus","Corvus bennetti",0.415,0.00728592,0.0175258465116279
"Chordata","Aves","Passeriformes","Corvidae","Corvus","Corvus brachyrhynchos",0.337,0.0093,0.0275964391691395
"Chordata","Aves","Passeriformes","Corvidae","Corvus","Corvus caurinus",0.39,0.007,0.0179487179487179
"Chordata","Aves","Passeriformes","Corvidae","Corvus","Corvus coronoides",0.6344,0.01018388,0.0160527742749054
"Chordata","Aves","Passeriformes","Corvidae","Corvus","Corvus cryptoleucus",0.535,0.0087,0.0162616822429907
"Chordata","Aves","Passeriformes","Corvidae","Corvus","Corvus enca",0.24,0.0066,0.0275
"Chordata","Aves","Passeriformes","Corvidae","Corvus","Corvus macrorhynchos",0.49,0.0097,0.0197959183673469
"Chordata","Aves","Passeriformes","Corvidae","Corvus","Corvus mellori",0.53,0.008806,0.0166150943396226
"Chordata","Aves","Passeriformes","Corvidae","Corvus","Corvus moneduloides",0.275,0.0063,0.0229090909090909
"Chordata","Aves","Passeriformes","Corvidae","Corvus","Corvus nasicus",0.36,0.0059,0.0163888888888889
"Chordata","Aves","Passeriformes","Corvidae","Corvus","Corvus orru",0.50845,0.00866538,0.0172419138256958
"Chordata","Aves","Passeriformes","Corvidae","Corvus","Corvus ossifragus",0.285,0.0067,0.0235087719298246
"Chordata","Aves","Passeriformes","Corvidae","Corvus","Corvus palmarum",0.29,0.0059,0.0203448275862069
"Chordata","Aves","Passeriformes","Corvidae","Corvus","Corvus rhipidurus",0.745,0.0094,0.0126174496644295
"Chordata","Aves","Passeriformes","Corvidae","Corvus","Corvus splendens",0.295,0.0057,0.0193220338983051
"Chordata","Aves","Passeriformes","Corvidae","Corvus","Corvus tristis",0.635,0.0103,0.0162204724409449
"Chordata","Aves","Passeriformes","Corvidae","Cyanocitta","Cyanocitta stelleri",0.13,0.0034,0.0261538461538462
"Chordata","Aves","Passeriformes","Corvidae","Cyanocorax","Cyanocorax affinis",0.21,0.0037,0.0176190476190476
"Chordata","Aves","Passeriformes","Corvidae","Cyanocorax","Cyanocorax caeruleus",0.27,0.0037,0.0137037037037037
"Chordata","Aves","Passeriformes","Corvidae","Cyanocorax","Cyanocorax cayanus",0.175,0.0042,0.024
"Chordata","Aves","Passeriformes","Corvidae","Cyanocorax","Cyanocorax chrysops",0.155,0.0027,0.0174193548387097
"Chordata","Aves","Passeriformes","Corvidae","Cyanocorax","Cyanocorax cyanomelas",0.22,0.0038,0.0172727272727273
"Chordata","Aves","Passeriformes","Corvidae","Cyanocorax","Cyanocorax violaceus",0.26,0.0047,0.0180769230769231
"Chordata","Aves","Passeriformes","Corvidae","Cyanocorax","Cyanocorax yncas",0.08,0.0024,0.03
"Chordata","Aves","Passeriformes","Corvidae","Cyanolyca","Cyanolyca argentigula",0.2,0.0026,0.013
"Chordata","Aves","Passeriformes","Corvidae","Cyanolyca","Cyanolyca viridicyanea",0.1,0.0033,0.033
"Chordata","Aves","Passeriformes","Corvidae","Cyanopica","Cyanopica cyanus",0.07,0.0027,0.0385714285714286
"Chordata","Aves","Passeriformes","Corvidae","Dendrocitta","Dendrocitta formosae",0.105,0.0024,0.0228571428571429
"Chordata","Aves","Passeriformes","Corvidae","Gymnorhinus","Gymnorhinus cyanocephalus",0.105,0.0026,0.0247619047619048
"Chordata","Aves","Passeriformes","Corvidae","Nucifraga","Nucifraga caryocatactes",0.16,0.0054,0.03375
"Chordata","Aves","Passeriformes","Corvidae","Perisoreus","Perisoreus canadensis",0.075,0.0024,0.032
"Chordata","Aves","Passeriformes","Corvidae","Perisoreus","Perisoreus infaustus",0.085,0.0027,0.0317647058823529
"Chordata","Aves","Passeriformes","Corvidae","Pica","Pica nuttalli",0.16,0.0043,0.026875
"Chordata","Aves","Passeriformes","Corvidae","Podoces","Podoces hendersoni",0.12,0.0039,0.0325
"Chordata","Aves","Passeriformes","Corvidae","Psilorhinus","Psilorhinus morio",0.205,0.005,0.024390243902439
"Chordata","Aves","Passeriformes","Corvidae","Ptilostomus","Ptilostomus afer",0.13,0.0029,0.0223076923076923
"Chordata","Aves","Passeriformes","Corvidae","Pyrrhocorax","Pyrrhocorax graculus",0.15,0.0035,0.0233333333333333
"Chordata","Aves","Passeriformes","Corvidae","Pyrrhocorax","Pyrrhocorax pyrrhocorax",0.3,0.0061,0.0203333333333333
"Chordata","Aves","Passeriformes","Corvidae","Urocissa","Urocissa caerulea",0.215,0.0046,0.0213953488372093
"Chordata","Aves","Passeriformes","Dasyornithidae","Dasyornis","Dasyornis brachypterus",0.045,0.0015022,0.0333822222222222
"Chordata","Aves","Passeriformes","Dasyornithidae","Dasyornis","Dasyornis broadbenti",0.074,0.00194768,0.02632
"Chordata","Aves","Passeriformes","Dicaeidae","Dicaeum","Dicaeum hirundinaceum",0.009,0.00038332,0.0425911111111111
"Chordata","Aves","Passeriformes","Dicruridae","Dicrurus","Dicrurus bracteatus",0.0826,0.0018648,0.0225762711864407
"Chordata","Aves","Passeriformes","Estrildidae","Erythrura","Erythrura gouldiae",0.0145,0.00054908,0.0378675862068966
"Chordata","Aves","Passeriformes","Estrildidae","Erythrura","Erythrura trichroa",0.0145,0.00060088,0.04144
"Chordata","Aves","Passeriformes","Estrildidae","Neochmia","Neochmia phaeton",0.0099,0.000518,0.0523232323232323
"Chordata","Aves","Passeriformes","Estrildidae","Neochmia","Neochmia temporalis",0.0094,0.00053872,0.0573106382978723
"Chordata","Aves","Passeriformes","Estrildidae","Poephila","Poephila acuticauda",0.0145,0.00052836,0.0364386206896552
"Chordata","Aves","Passeriformes","Estrildidae","Poephila","Poephila cincta",0.015,0.00048692,0.0324613333333333
"Chordata","Aves","Passeriformes","Estrildidae","Poephila","Poephila personata",0.0125,0.000518,0.04144
"Chordata","Aves","Passeriformes","Estrildidae","Stagonopleura","Stagonopleura bella",0.014,0.00066304,0.04736
"Chordata","Aves","Passeriformes","Estrildidae","Taeniopygia","Taeniopygia bichenovii",0.009,0.0004144,0.0460444444444444
"Chordata","Aves","Passeriformes","Estrildidae","Taeniopygia","Taeniopygia guttata",0.012,0.00045584,0.0379866666666667
"Chordata","Aves","Passeriformes","Fringillidae","Serinus","Serinus canaria",0.0162,0.000706,0.0432266941864465
"Chordata","Aves","Passeriformes","Hirundinidae","Cheramoeca","Cheramoeca leucosterna",0.0141,0.00042476,0.0301248226950355
"Chordata","Aves","Passeriformes","Hirundinidae","Hirundo","Hirundo neoxena",0.015,0.00049728,0.033152
"Chordata","Aves","Passeriformes","Hirundinidae","Hirundo","Hirundo rustica",0.0198333333333333,0.000784266666666667,0.0391404338479578
"Chordata","Aves","Passeriformes","Hirundinidae","Petrochelidon","Petrochelidon ariel",0.0105,0.00037296,0.03552
"Chordata","Aves","Passeriformes","Hirundinidae","Petrochelidon","Petrochelidon nigricans",0.0167,0.00053872,0.0322586826347305
"Chordata","Aves","Passeriformes","Icteridae","Molothrus","Molothrus ater",0.066,0.002693,0.0408030303030303
"Chordata","Aves","Passeriformes","Icteridae","Quiscalus","Quiscalus quiscula aeneus",0.082,0.00292,0.035609756097561
"Chordata","Aves","Passeriformes","Locustellidae","Megalurus","Megalurus cruralis",0.0515,0.00116032,0.0225304854368932
"Chordata","Aves","Passeriformes","Locustellidae","Megalurus","Megalurus gramineus",0.0135,0.00058016,0.0429748148148148
"Chordata","Aves","Passeriformes","Locustellidae","Megalurus","Megalurus mathewsi",0.029,0.0009324,0.032151724137931
"Chordata","Aves","Passeriformes","Maluridae","Amytornis","Amytornis goyderi",0.017,0.00080808,0.0475341176470588
"Chordata","Aves","Passeriformes","Maluridae","Malurus","Malurus coronatus",0.0105,0.00049728,0.04736
"Chordata","Aves","Passeriformes","Maluridae","Malurus","Malurus cyaneus",0.0106,0.00048692,0.0459358490566038
"Chordata","Aves","Passeriformes","Maluridae","Malurus","Malurus elegans",0.00975,0.00059052,0.0605661538461538
"Chordata","Aves","Passeriformes","Maluridae","Malurus","Malurus lamberti",0.008,0.00047656,0.05957
"Chordata","Aves","Passeriformes","Maluridae","Malurus","Malurus leucopterus",0.0075,0.00040404,0.053872
"Chordata","Aves","Passeriformes","Maluridae","Malurus","Malurus melanocephalus",0.0073,0.0004662,0.0638630136986301
"Chordata","Aves","Passeriformes","Maluridae","Malurus","Malurus pulcherrimus",0.00925,0.00043512,0.04704
"Chordata","Aves","Passeriformes","Maluridae","Malurus","Malurus splendens",0.0092,0.0004662,0.0506739130434783
"Chordata","Aves","Passeriformes","Maluridae","Stipiturus","Stipiturus malachurus",0.0076,0.0004144,0.0545263157894737
"Chordata","Aves","Passeriformes","Meliphagidae","Acanthagenys","Acanthagenys rufogularis",0.05,0.00120176,0.0240352
"Chordata","Aves","Passeriformes","Meliphagidae","Acanthorhynchus","Acanthorhynchus tenuirostris",0.011,0.00049728,0.0452072727272727
"Chordata","Aves","Passeriformes","Meliphagidae","Anthochaera","Anthochaera carunculata",0.1094,0.0022792,0.0208336380255941
"Chordata","Aves","Passeriformes","Meliphagidae","Anthochaera","Anthochaera chrysoptera",0.072,0.0017612,0.0244611111111111
"Chordata","Aves","Passeriformes","Meliphagidae","Anthochaera","Anthochaera phrygia",0.042,0.00106708,0.0254066666666667
"Chordata","Aves","Passeriformes","Meliphagidae","Ashbyia","Ashbyia lovensis",0.018,0.00069412,0.0385622222222222
"Chordata","Aves","Passeriformes","Meliphagidae","Certhionyx","Certhionyx variegatus",0.027,0.00087024,0.0322311111111111
"Chordata","Aves","Passeriformes","Meliphagidae","Cissomela","Cissomela pectoralis",0.0095,0.00044548,0.0468926315789474
"Chordata","Aves","Passeriformes","Meliphagidae","Conopophila","Conopophila albogularis",0.012,0.00053872,0.0448933333333333
"Chordata","Aves","Passeriformes","Meliphagidae","Conopophila","Conopophila rufogularis",0.011,0.00045584,0.04144
"Chordata","Aves","Passeriformes","Meliphagidae","Entomyzon","Entomyzon cyanotis",0.1033,0.00231028,0.0223647628267183
"Chordata","Aves","Passeriformes","Meliphagidae","Epthianura","Epthianura albifrons",0.013,0.00054908,0.0422369230769231
"Chordata","Aves","Passeriformes","Meliphagidae","Epthianura","Epthianura aurifrons",0.011,0.00044548,0.0404981818181818
"Chordata","Aves","Passeriformes","Meliphagidae","Epthianura","Epthianura tricolor",0.011,0.00045584,0.04144
"Chordata","Aves","Passeriformes","Meliphagidae","Gliciphila","Gliciphila melanops",0.018,0.00064232,0.0356844444444444
"Chordata","Aves","Passeriformes","Meliphagidae","Grantiella","Grantiella picta",0.0215,0.0007252,0.0337302325581395
"Chordata","Aves","Passeriformes","Meliphagidae","Lichenostomus","Lichenostomus chrysops",0.01625,0.00074592,0.0459027692307692
"Chordata","Aves","Passeriformes","Meliphagidae","Lichenostomus","Lichenostomus cratitius",0.02,0.00095312,0.047656
"Chordata","Aves","Passeriformes","Meliphagidae","Lichenostomus","Lichenostomus flavescens",0.0138,0.00053872,0.0390376811594203
"Chordata","Aves","Passeriformes","Meliphagidae","Lichenostomus","Lichenostomus flavus",0.022,0.00073556,0.0334345454545455
"Chordata","Aves","Passeriformes","Meliphagidae","Lichenostomus","Lichenostomus frenatus",0.035,0.00107744,0.030784
"Chordata","Aves","Passeriformes","Meliphagidae","Lichenostomus","Lichenostomus fuscus",0.0172,0.00075628,0.0439697674418605
